,titleId,title,region,titleType,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre1,genre2,genre3
725509,tt0101902,For the Boys,US,movie,For the Boys,1991,138,6.4,5549,Comedy,Drama,Music
725580,tt0101912,Frankie and Johnny,US,movie,Frankie and Johnny,1991,118,6.7,30704,Comedy,Drama,Romance
725628,tt0101917,A Nightmare on Elm Street Part 6: Freddy's Dead,US,movie,Freddy's Dead: The Final Nightmare,1991,89,4.9,44520,Fantasy,Horror,
725687,tt0101921,Fried Green Tomatoes,US,movie,Fried Green Tomatoes,1991,130,7.7,71231,Drama,,
725903,tt0101962,Godzilla vs. King Ghidorah,US,movie,Gojira vs. Kingu Gidorâ,1991,103,6.6,6235,Action,Adventure,Drama
725963,tt0101969,Grand Canyon,US,movie,Grand Canyon,1991,134,6.8,15464,Crime,Drama,
726047,tt0101984,Guilty by Suspicion,US,movie,Guilty by Suspicion,1991,105,6.5,8326,Drama,,
726094,tt0101985,A Brighter Summer Day,US,movie,Gu ling jie shao nian sha ren shi jian,1991,237,8.4,9186,Crime,Drama,Romance
726123,tt0101988,The Guyver,US,movie,Guyver,1991,88,5.0,5133,Action,Comedy,Sci-Fi
726155,tt0101991,Rhapsody in August,US,movie,Hachigatsu no rapusodî,1991,98,7.2,6677,Drama,,
726210,tt0101998,Hangin' with the Homeboys,US,movie,Hangin' with the Homeboys,1991,88,7.0,1427,Comedy,Drama,
726277,tt0102004,The Hard Way,US,movie,The Hard Way,1991,111,6.4,20201,Action,Comedy,Crime
726306,tt0102005,Harley Davidson and the Marlboro Man,US,movie,Harley Davidson and the Marlboro Man,1991,98,6.1,19634,Action,Crime,Drama
726351,tt0102011,"He Said, She Said",US,movie,"He Said, She Said",1991,115,5.7,6848,Comedy,Drama,Romance
726397,tt0102014,Hear My Song,US,movie,Hear My Song,1991,113,7.0,1727,Comedy,Drama,Music
726402,tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,US,movie,Hearts of Darkness: A Filmmaker's Apocalypse,1991,96,8.1,20330,Documentary,,
